HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,R_squared,N_obs
95886,Needle EMG,17775.6221,94.5601,3909.0965,-35.3790,1.65E-182,0.0011,0.0010,0.4885,16566.2982,18984.9460,37.6378,151.4823,1590.1677,6228.0254,-135.4862,64.7283,0.5820,75
86160,C3,14651.6968,131.8652,2815.4688,9.2258,1.92E-261,1.73E-10,0.0010,0.8081,13820.3214,15483.0722,91.3803,172.3502,1145.0289,4485.9088,-65.2189,83.6704,0.8055,75
92557,"Comprehensive audiometry, including air, bone, and speech",8383.0632,3152.5135,-50008.9639,-4159.1990,0.1679,5.46E-20,0.0016,8.07E-15,-3531.1183,20297.2447,2477.5642,3827.4628,-81106.0472,-18911.8806,-5208.8326,-3109.5654,0.5991,75
11102,"Tangential skin biopsy, single lesion",8174.3942,4.9512,2327.8391,28.1323,8.77E-64,0.8807,0.0017,0.5152,7224.1603,9124.6281,-59.7039,69.6062,871.8119,3783.8663,-56.5876,112.8522,0.4342,63
93306,Echocardiogram,204496.9674,950.9273,31868.8090,-615.8937,0.0000,3.00E-05,0.0017,0.1552,195067.9824,213925.9525,504.3260,1397.5285,11915.4716,51822.1464,-1465.1422,233.3548,0.6248,75
11105,"Punch skin biopsy, each additional lesion",333.8231,-3.4168,-125.7485,2.8925,1.09E-21,0.1416,0.0018,0.2282,265.4409,402.2053,-7.9732,1.1395,-204.5021,-46.9949,-1.8119,7.5969,0.6615,63
93041,"Rhythm ECG (limited, interpretation dependent)",13549.3843,14.3266,1718.0095,-176.1159,2.75E-177,0.4997,0.0021,1.58E-10,12613.9487,14484.8199,-27.2780,55.9312,623.7848,2812.2343,-230.0717,-122.1600,0.7393,75
81025,"qualitative urine pregnancy test (hCG) performed by visual color comparison, such as a dipstick or test strip",489552.6134,-259.9913,58532.9578,641.4922,0.0000,0.5928,0.0022,0.4726,472091.8843,507013.3425,-1212.9183,692.9357,21046.6310,96019.2847,-1108.8793,2391.8637,0.3343,75
Agg_pregnancy_test,,489552.6134,-259.9913,58532.9578,641.4922,0.0000,0.5928,0.0022,0.4726,472091.8843,507013.3425,-1212.9183,692.9357,21046.6310,96019.2847,-1108.8793,2391.8637,0.3343,75
93000,ECG,182901.0852,286.2116,34792.9082,514.0023,1.53E-241,0.3613,0.0023,0.3319,172100.0491,193702.1213,-328.3036,900.7269,12408.4796,57177.3368,-524.3378,1552.3424,0.5434,75
27447,Total knee replacement (arthroplasty),51.3632,0.5774,86.0676,5.5389,4.38E-07,0.2461,0.0024,0.0001,31.4354,71.2911,-0.3982,1.5531,30.4782,141.6570,2.7269,8.3509,0.7489,75
88341,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",7928.7707,135.9664,2523.9863,-80.8772,7.11E-206,1.37E-14,0.0024,0.0186,7421.2179,8436.3235,101.3548,170.5781,892.1151,4155.8576,-148.2350,-13.5194,0.7627,75
76700,abdominal ultrasound,58547.7546,-74.0162,9208.0720,43.4770,0.0000,0.3184,0.0025,0.7299,55800.1199,61295.3894,-219.4053,71.3729,3246.9711,15169.1728,-203.3423,290.2964,0.2449,75
83520,Tryptase,14083.3433,738.7244,4139.7967,-972.7860,1.08E-98,2.05E-155,0.0025,6.57E-66,12774.2649,15392.4217,684.2080,793.2407,1453.6973,6825.8961,-1083.9763,-861.5957,0.8962,75
96111," Deleted; old code for developmental testing, per hour / extended developmental testing",8744.1230,-335.5338,3014.8215,336.4087,7.76E-18,2.27E-12,0.0025,1.99E-12,6752.0266,10736.2193,-429.2567,-241.8109,1058.4187,4971.2242,242.6845,430.1329,0.7585,66
Agg_autonomic_testing,,7679.0974,-31.4740,1305.9262,27.3331,1.89E-70,0.0587,0.0025,0.1870,6830.9165,8527.2782,-64.1029,1.1550,458.2692,2153.5832,-13.2636,67.9297,0.1206,75
Agg_immunohistochemistry_stains,,48671.7582,613.4918,11808.7594,-502.0794,6.59E-251,3.36E-14,0.0031,0.0033,45852.1252,51491.3913,454.9380,772.0455,3976.7075,19640.8113,-836.7511,-167.4077,0.6892,75
88305,"Surgical pathology, gross and microscopic examination (nerve biopsy)",355783.7094,1140.1486,51304.9985,-1299.9550,0.0000,0.0053,0.0034,0.0814,339137.5301,372429.8887,338.7824,1941.5149,16922.7693,85687.2276,-2761.8124,161.9023,0.4448,75
88342,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",40742.9875,477.5253,9284.7731,-421.2022,9.50E-253,2.70E-13,0.0036,0.0022,38391.3680,43094.6071,349.4621,605.5886,3027.8345,15541.7117,-691.2093,-151.1951,0.6648,75
96146, Psychological or neuropsychological test administration with single automated standardized instrument via electronic platform,1704.4928,-62.3825,313.7823,56.8098,4.84E-38,1.91E-12,0.0062,1.51E-09,1445.4079,1963.5776,-79.7474,-45.0176,89.0759,538.4887,38.3836,75.2360,0.8096,63
71260,CT Chest,38112.6217,363.2614,6075.3912,-346.9598,3.46E-278,1.23E-13,0.0063,9.53E-05,36016.6350,40208.6085,267.2300,459.2927,1718.0298,10432.7526,-521.2252,-172.6945,0.6664,75
95816,EEG (if syncope vs seizure differentiation is needed),7879.5790,16.9106,1344.6899,42.0055,4.88E-167,0.1671,0.0066,0.0496,7318.9377,8440.2203,-7.0768,40.8979,373.9679,2315.4119,0.0729,83.9381,0.6302,75
96136, Psychological or neuropsychological test administration and scoring first 30 minutes. ,8010.3098,14.8463,1893.1674,152.9017,6.55E-75,0.6420,0.0086,0.0002,7152.9880,8867.6317,-47.7441,77.4367,481.4228,3304.9120,72.2337,233.5698,0.7931,63
93241,continuous cardiac monitoring and detection,0,21.5668,-16.5724,-11.5779,0,0.0015,0.0091,0.0509,0,0,8.2784,34.8552,-29.0201,-4.1246,-23.2012,0.0453,0.8463,40
93225,Holter monitor (24-48 hr ECG),2432.7849,18.9874,574.7782,-56.9223,1.77E-120,0.0002,0.0091,3.90E-12,2228.4870,2637.0827,8.9328,29.0420,143.0051,1006.5512,-72.9964,-40.8482,0.4251,75
86790,Viral serologies (lab dependent),551.6951,18.7870,-355.7661,-14.8423,8.36E-09,0.0003,0.0098,0.0165,364.0024,739.3879,8.5443,29.0297,-625.8622,-85.6700,-26.9745,-2.7100,0.3397,75
88314,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",478.4574,-5.7014,-118.0008,4.7656,1.92E-72,0.0002,0.0105,0.0071,426.3619,530.5530,-8.6905,-2.7124,-208.3588,-27.6428,1.2940,8.2372,0.7955,75
93660,Tilt table test (with continuous monitoring),78.1437,-1.1471,-35.3319,2.2612,1.32E-09,0.0585,0.0108,0.0010,52.8913,103.3961,-2.3356,0.0415,-62.4868,-8.1770,0.9114,3.6110,0.3641,59
