HCPCS_CODE,Description,B0_const,B1_time,B2_level,B3_slope,p_const,p_time,p_level,p_slope,ci_const_low,ci_const_high,ci_time_low,ci_time_high,ci_level_low,ci_level_high,ci_slope_low,ci_slope_high,Deviance,N_obs
Agg_needle_EMG,,9.7887,0.0055,0.1622,-0.0031,0.0000,0.0000,0.0000,1.50E-91,9.7841,9.7932,0.0053,0.0058,0.1559,0.1684,-0.0034,-0.0028,26645.6775,69
Agg_skin_biopsy,,9.4087,-0.0041,0.2808,0.0075,0.0000,2.04E-182,0.0000,1.96E-295,9.4029,9.4145,-0.0044,-0.0038,0.2722,0.2893,0.0071,0.0079,21806.0872,69
96130," Psychological testing evaluation services, first hour. ",9.9931,-0.0139,0.3352,0.0210,0.0000,0.0000,0.0000,0.0000,9.9879,9.9984,-0.0143,-0.0136,0.3277,0.3428,0.0206,0.0214,86179.1048,57
Agg_immunohistochemistry_stains,,10.8079,0.0101,0.1377,-0.0079,0.0000,0.0000,0.0000,0.0000,10.8052,10.8105,0.0100,0.0102,0.1342,0.1412,-0.0081,-0.0077,67667.4153,69
93042,"Rhythm ECG (limited, interpretation dependent)",9.0620,0.0051,0.1749,-0.0127,0.0000,3.47E-238,3.93E-304,0.0000,9.0555,9.0686,0.0048,0.0054,0.1657,0.1841,-0.0132,-0.0123,6029.8045,69
88341,"Immunohistochemistry stains often used to visualize nerve fibers (e.g., PGP 9.5)",8.9983,0.0133,0.1500,-0.0092,0.0000,0.0000,1.15E-285,0.0000,8.9918,9.0048,0.0130,0.0136,0.1419,0.1582,-0.0096,-0.0088,14689.8048,69
86160,C3,9.5901,0.0085,0.1204,-0.0031,0.0000,0.0000,4.33E-282,3.29E-85,9.5851,9.5951,0.0083,0.0088,0.1138,0.1270,-0.0034,-0.0028,14805.1343,69
94761,"Pulse oximetry (spot / overnight, sometimes used adjunctively)",9.9269,-0.0133,0.1429,0.0149,0.0000,0.0000,1.42E-270,0.0000,9.9223,9.9315,-0.0136,-0.0131,0.1349,0.1508,0.0146,0.0153,13385.3942,69
95923,Sudomotor function (QSART),8.4526,-0.0100,0.2729,0.0080,0.0000,0.0000,2.79E-264,2.50E-106,8.4431,8.4621,-0.0105,-0.0095,0.2575,0.2883,0.0073,0.0087,4784.7118,69
95816,"EEG awake/drowsy, 20-40 minutes.",8.9728,0.0020,0.1740,0.0032,0.0000,4.57E-34,3.22E-263,1.40E-42,8.9659,8.9798,0.0017,0.0024,0.1641,0.1838,0.0028,0.0037,9479.8873,69
Agg_autonomic_testing,,8.9455,-0.0042,0.1938,0.0038,0.0000,2.36E-118,8.09E-256,1.30E-46,8.9383,8.9528,-0.0045,-0.0038,0.1827,0.2050,0.0033,0.0043,10235.8424,69
96136, Psychological or neuropsychological test administration and scoring first 30 minutes. ,8.9643,0.0052,0.1770,0.0085,0.0000,9.76E-73,3.38E-242,4.88E-151,8.9559,8.9726,0.0046,0.0058,0.1666,0.1875,0.0079,0.0091,11324.3958,57
