code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
75565,quarter,2023-Q3,1005,289816874.0,0.3467706990725461,0.3256602131648206,0.36889046988265256
75565,quarter,2023-Q4,786,276383178.0,0.28438778571393375,0.26485123225444734,0.3049841287872105
75565,quarter,2024-Q1,827,267644460.0,0.3089920112674852,0.28828886406164556,0.33078922626946955
75565,quarter,2024-Q2,1010,258952546.0,0.39003285181061703,0.36634660679845843,0.41484864820025896
75565,year,2018,1423,913486173.0,0.1557768515889731,0.14778730362284156,0.16408607443312678
75565,year,2019,1752,898545960.0,0.19498167906736794,0.18595745589165125,0.20433060891191623
75565,year,2020,1309,719880231.0,0.181835803183766,0.1721175407993685,0.19195986705737897
75565,year,2021,2389,1056929108.0,0.22603218909550551,0.21705833304884734,0.23528177766650893
75565,year,2022,2523,1138662615.5,0.22157572977770254,0.2130132804323628,0.2303940723705207
75565,year,2023,3538,1162251746.0,0.30440909313979214,0.29446023577004493,0.3146083904131368
75565,year,2024,1837,526597006.0,0.34884360888295673,0.33307189079643357,0.365169278907383
