code,url,description
90899,https://www.aapc.com/codes/cpt-codes/90899/,"The Current Procedural Terminology (CPT ® ) code 90899 as maintained by American Medical Association, is a medical procedural code under the range - Other Psychiatric Services or Procedures."
90913,https://www.aapc.com/codes/cpt-codes/90913/,"The Current Procedural Terminology (CPT ® ) code 90913 as maintained by American Medical Association, is a medical procedural code under the range - Biofeedback Services and Procedures."
90999,https://www.aapc.com/codes/cpt-codes/90999/,"The Current Procedural Terminology (CPT ® ) code 90999 as maintained by American Medical Association, is a medical procedural code under the range - Other Dialysis Procedures."
91299,https://www.aapc.com/codes/cpt-codes/91299/,"The Current Procedural Terminology (CPT ® ) code 91299 as maintained by American Medical Association, is a medical procedural code under the range - Other Diagnostic Gastroenterology Procedures."
92499,https://www.aapc.com/codes/cpt-codes/92499/,"The Current Procedural Terminology (CPT ® ) code 92499 as maintained by American Medical Association, is a medical procedural code under the range - Other Ophthalmological Services or Procedures."
92700,https://www.aapc.com/codes/cpt-codes/92700/,"The Current Procedural Terminology (CPT ® ) code 92700 as maintained by American Medical Association, is a medical procedural code under the range - Other Otorhinolaryngological Service or Procedures."
93998,https://www.aapc.com/codes/cpt-codes/93998/,"The Current Procedural Terminology (CPT ® ) code 93998 as maintained by American Medical Association, is a medical procedural code under the range - Other Noninvasive Vascular Diagnostic Studies."
94799,https://www.aapc.com/codes/cpt-codes/94799/,"The Current Procedural Terminology (CPT ® ) code 94799 as maintained by American Medical Association, is a medical procedural code under the range - Pulmonary Diagnostic Testing and Therapies."
95199,https://www.aapc.com/codes/cpt-codes/95199/,"The Current Procedural Terminology (CPT ® ) code 95199 as maintained by American Medical Association, is a medical procedural code under the range - Allergen Immunotherapy Services and Procedures."
95251,https://www.aapc.com/codes/cpt-codes/95251/,"The Current Procedural Terminology (CPT ® ) code 95251 as maintained by American Medical Association, is a medical procedural code under the range - Endocrinology Services."
96020,https://www.aapc.com/codes/cpt-codes/96020/,"The Current Procedural Terminology (CPT ® ) code 96020 as maintained by American Medical Association, is a medical procedural code under the range - Functional Brain Mapping."
96146,https://www.aapc.com/codes/cpt-codes/96146/,"The Current Procedural Terminology (CPT ® ) code 96146 as maintained by American Medical Association, is a medical procedural code under the range - Psychological and Neuropsychological Testing with Automated Administration and Scoring."
96171,https://www.aapc.com/codes/cpt-codes/96171/,"The Current Procedural Terminology (CPT ® ) code 96171 as maintained by American Medical Association, is a medical procedural code under the range - Health Behavior Assessment and Intervention Procedures."
96203,https://www.aapc.com/codes/cpt-codes/96203/,"The Current Procedural Terminology (CPT ® ) code 96203 as maintained by American Medical Association, is a medical procedural code under the range - Behavior Management Services."
96549,https://www.aapc.com/codes/cpt-codes/96549/,"The Current Procedural Terminology (CPT ® ) code 96549 as maintained by American Medical Association, is a medical procedural code under the range - Other Injection and Infusion Services."
96574,https://www.aapc.com/codes/cpt-codes/96574/,"The Current Procedural Terminology (CPT ® ) code 96574 as maintained by American Medical Association, is a medical procedural code under the range - Photodynamic Therapy Procedures."
96999,https://www.aapc.com/codes/cpt-codes/96999/,"The Current Procedural Terminology (CPT ® ) code 96999 as maintained by American Medical Association, is a medical procedural code under the range - Special Dermatological Procedures."
97009,https://www.aapc.com/codes/cpt-codes/97009/,"The Current Procedural Terminology (CPT ® ) code 97009 as maintained by American Medical Association, is a medical procedural code under the range - Mechanical Scalp Cooling Procedures."
97799,https://www.aapc.com/codes/cpt-codes/97799/,"The Current Procedural Terminology (CPT ® ) code 97799 as maintained by American Medical Association, is a medical procedural code under the range - Other Physical Medicine and Rehabilitation Service or Procedures."
97158,https://www.aapc.com/codes/cpt-codes/97158/,"The Current Procedural Terminology (CPT ® ) code 97158 as maintained by American Medical Association, is a medical procedural code under the range - Adaptive Behavior Treatment Procedures."
97804,https://www.aapc.com/codes/cpt-codes/97804/,"The Current Procedural Terminology (CPT ® ) code 97804 as maintained by American Medical Association, is a medical procedural code under the range - Medical Nutrition Therapy Procedures."
98929,https://www.aapc.com/codes/cpt-codes/98929/,"The Current Procedural Terminology (CPT ® ) code 98929 as maintained by American Medical Association, is a medical procedural code under the range - Osteopathic Manipulative Treatment Procedures."
98943,https://www.aapc.com/codes/cpt-codes/98943/,"The Current Procedural Terminology (CPT ® ) code 98943 as maintained by American Medical Association, is a medical procedural code under the range - Chiropractic Manipulative Treatment Procedures."
98962,https://www.aapc.com/codes/cpt-codes/98962/,"The Current Procedural Terminology (CPT ® ) code 98962 as maintained by American Medical Association, is a medical procedural code under the range - Education and Training for Patient Self-Management."
98981,https://www.aapc.com/codes/cpt-codes/98981/,"The Current Procedural Terminology (CPT ® ) code 98981 as maintained by American Medical Association, is a medical procedural code under the range - Remote Therapeutic Monitoring Treatment Management Services."
99091,https://www.aapc.com/codes/cpt-codes/99091/,"The Current Procedural Terminology (CPT ® ) code 99091 as maintained by American Medical Association, is a medical procedural code under the range - Digitally Stored Data Services/Remote Physiologic Monitoring."
99140,https://www.aapc.com/codes/cpt-codes/99140/,"The Current Procedural Terminology (CPT ® ) code 99140 as maintained by American Medical Association, is a medical procedural code under the range - Qualifying Circumstances for Anesthesia."
99157,https://www.aapc.com/codes/cpt-codes/99157/,"The Current Procedural Terminology (CPT ® ) code 99157 as maintained by American Medical Association, is a medical procedural code under the range - Moderate (Conscious) Sedation."
99199,https://www.aapc.com/codes/cpt-codes/99199/,"The Current Procedural Terminology (CPT ® ) code 99199 as maintained by American Medical Association, is a medical procedural code under the range - Other Medicine Services and Procedures."
99602,https://www.aapc.com/codes/cpt-codes/99602/,"The Current Procedural Terminology (CPT ® ) code 99602 as maintained by American Medical Association, is a medical procedural code under the range - Home Infusion Procedures and Services."
99607,https://www.aapc.com/codes/cpt-codes/99607/,"The Current Procedural Terminology (CPT ® ) code 99607 as maintained by American Medical Association, is a medical procedural code under the range - Medication Therapy Management Services."
92998,https://www.aapc.com/codes/cpt-codes/92998/,"The Current Procedural Terminology (CPT ® ) code 92998 as maintained by American Medical Association, is a medical procedural code under the range - Other Therapeutic Cardiovascular Services and Procedures."
93153,https://www.aapc.com/codes/cpt-codes/93153/,"The Current Procedural Terminology (CPT ® ) code 93153 as maintained by American Medical Association, is a medical procedural code under the range - Phrenic Nerve Stimulation System."
93278,https://www.aapc.com/codes/cpt-codes/93278/,"The Current Procedural Terminology (CPT ® ) code 93278 as maintained by American Medical Association, is a medical procedural code under the range - Cardiovascular Monitoring Services."
93298,https://www.aapc.com/codes/cpt-codes/93298/,"The Current Procedural Terminology (CPT ® ) code 93298 as maintained by American Medical Association, is a medical procedural code under the range - Interrogation device evaluation(s) (remote)."
93356,https://www.aapc.com/codes/cpt-codes/93356/,"The Current Procedural Terminology (CPT ® ) code 93356 as maintained by American Medical Association, is a medical procedural code under the range - Echocardiography Procedures."
93598,https://www.aapc.com/codes/cpt-codes/93598/,"The Current Procedural Terminology (CPT ® ) code 93598 as maintained by American Medical Association, is a medical procedural code under the range - Cardiac Catheterization for Congenital Heart Defects."
93662,https://www.aapc.com/codes/cpt-codes/93662/,"The Current Procedural Terminology (CPT ® ) code 93662 as maintained by American Medical Association, is a medical procedural code under the range - Intracardiac Electrophysiological Procedures/Studies."
93790,https://www.aapc.com/codes/cpt-codes/93790/,"The Current Procedural Terminology (CPT ® ) code 93790 as maintained by American Medical Association, is a medical procedural code under the range - Non-invasive Physiologic Studies and Procedures."
95812,https://www.aapc.com/codes/cpt-codes/95812/,"The Current Procedural Terminology (CPT ® ) code 95812 as maintained by American Medical Association, is a medical procedural code under the range - Routine Electroencephalography (EEG) Procedures."
95829,https://www.aapc.com/codes/cpt-codes/95829/,"The Current Procedural Terminology (CPT ® ) code 95829 as maintained by American Medical Association, is a medical procedural code under the range - Electrocorticography."
95836,https://www.aapc.com/codes/cpt-codes/95836/,"The Current Procedural Terminology (CPT ® ) code 95836 as maintained by American Medical Association, is a medical procedural code under the range - Electrocorticography."
95860,https://www.aapc.com/codes/cpt-codes/95860/,"The Current Procedural Terminology (CPT ® ) code 95860 as maintained by American Medical Association, is a medical procedural code under the range - Electromyography Procedures."
95873,https://www.aapc.com/codes/cpt-codes/95873/,"The Current Procedural Terminology (CPT ® ) code 95873 as maintained by American Medical Association, is a medical procedural code under the range - Ischemic Muscle Testing Procedures and Guidance Procedures for Chemodenervation."
95905,https://www.aapc.com/codes/cpt-codes/95905/,"The Current Procedural Terminology (CPT ® ) code 95905 as maintained by American Medical Association, is a medical procedural code under the range - Nerve Conduction Tests."
95919,https://www.aapc.com/codes/cpt-codes/95919/,"The Current Procedural Terminology (CPT ® ) code 95919 as maintained by American Medical Association, is a medical procedural code under the range - Autonomic Function Testing Procedures."
95925,https://www.aapc.com/codes/cpt-codes/95925/,"The Current Procedural Terminology (CPT ® ) code 95925 as maintained by American Medical Association, is a medical procedural code under the range - Evoked Potentials and Reflex Testing Procedures."
95940,https://www.aapc.com/codes/cpt-codes/95940/,"The Current Procedural Terminology (CPT ® ) code 95940 as maintained by American Medical Association, is a medical procedural code under the range - Intraoperative Neurophysiology Procedures."
95811,https://www.aapc.com/codes/cpt-codes/95811/,"The Current Procedural Terminology (CPT ® ) code 95811 as maintained by American Medical Association, is a medical procedural code under the range - Sleep Medicine Testing and Long-term EEG Procedures."
95830,https://www.aapc.com/codes/cpt-codes/95830/,"The Current Procedural Terminology (CPT ® ) code 95830 as maintained by American Medical Association, is a medical procedural code under the range - Routine Electroencephalography (EEG) Procedures."
95857,https://www.aapc.com/codes/cpt-codes/95857/,"The Current Procedural Terminology (CPT ® ) code 95857 as maintained by American Medical Association, is a medical procedural code under the range - Range of Motion Testing."
95872,https://www.aapc.com/codes/cpt-codes/95872/,"The Current Procedural Terminology (CPT ® ) code 95872 as maintained by American Medical Association, is a medical procedural code under the range - Electromyography Procedures."
95887,https://www.aapc.com/codes/cpt-codes/95887/,"The Current Procedural Terminology (CPT ® ) code 95887 as maintained by American Medical Association, is a medical procedural code under the range - Electromyography Procedures."
95913,https://www.aapc.com/codes/cpt-codes/95913/,"The Current Procedural Terminology (CPT ® ) code 95913 as maintained by American Medical Association, is a medical procedural code under the range - Nerve Conduction Tests."
95924,https://www.aapc.com/codes/cpt-codes/95924/,"The Current Procedural Terminology (CPT ® ) code 95924 as maintained by American Medical Association, is a medical procedural code under the range - Autonomic Function Testing Procedures."
95941,https://www.aapc.com/codes/cpt-codes/95941/,"The Current Procedural Terminology (CPT ® ) code 95941 as maintained by American Medical Association, is a medical procedural code under the range - Intraoperative Neurophysiology Procedures."
