code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
93281,month,2021-04,16,86730928.0,0.018447859799217186,0.010544545832187481,0.029958168552700063
93281,month,2021-05,18,87232698.0,0.02063446438398592,0.012229291337979167,0.03261134978024867
93281,month,2021-06,22,87595760.0,0.025115370880965014,0.01573966921712833,0.03802497334017678
93281,month,2021-07,13,88407727.0,0.014704597031433689,0.00782957861930304,0.025145308755827277
93281,month,2021-08,17,89007226.0,0.019099572881869163,0.011126205044978363,0.03058026638860379
93281,month,2021-09,0,89384641.0,0.0,0.0,0.0041269723890415754
93281,month,2021-10,19,90288880.0,0.021043565940789166,0.012669601355523214,0.03286213492911374
93281,month,2021-11,0,90916915.0,0.0,0.0,0.0040574181978281325
93281,month,2021-12,15,91152624.0,0.016455916836798905,0.009210251734259801,0.027141532284891596
93281,month,2022-01,20,92054533.0,0.021726252198791776,0.013270959275198262,0.03355443441625476
93281,month,2022-02,0,92416336.0,0.0,0.0,0.003991588082559273
93281,month,2022-03,29,92843565.0,0.031235336557789435,0.020918795112561582,0.04485915360810046
93281,month,2022-04,0,93447612.5,0.0,0.0,0.003947537401358366
93281,month,2022-05,13,94051660.0,0.013822190910824967,0.0073597345235626895,0.023636367415693537
93281,month,2022-06,15,94517722.0,0.015870039694778085,0.008882340745350714,0.026175217036531886
93281,month,2022-07,15,95111777.0,0.01577091762253585,0.008826862873967032,0.026011730252380676
93281,month,2022-08,0,95824368.0,0.0,0.0,0.0038496256548375416
93281,month,2022-09,0,96242503.0,0.0,0.0,0.003832900578358748
93281,month,2022-10,0,96904625.0,0.0,0.0,0.00380671144861655
93281,month,2022-11,17,97433463.0,0.017447804354444426,0.010163989008178118,0.027935624966862374
93281,month,2022-12,0,97814451.0,0.0,0.0,0.003771303132002382
93281,month,2023-01,21,98743626.0,0.021267195514979367,0.013164729219156067,0.03250916746255946
93281,month,2023-02,0,99047187.0,0.0,0.0,0.0037243656946198134
93281,month,2023-03,0,99895730.0,0.0,0.0,0.0036927298635426515
93281,month,2023-04,16,100100536.0,0.01598393039573734,0.009136197286337732,0.02595690156700153
93281,month,2023-05,0,99734767.0,0.0,0.0,0.0036986895994993757
93281,month,2023-06,0,98529848.0,0.0,0.0,0.0037439207803445867
93281,month,2023-07,20,97857412.0,0.020437899992695494,0.01248400027726458,0.031564678925572444
93281,month,2023-08,0,96623612.0,0.0,0.0,0.0038177826079550154
93281,month,2023-09,0,95335850.0,0.0,0.0,0.003869351827370223
93281,month,2023-10,25,93799620.0,0.02665255999971002,0.017248131546619618,0.03934443625414513
93281,month,2023-11,0,92066205.0,0.0,0.0,0.004006768231745769
93281,month,2023-12,0,90517353.0,0.0,0.0,0.0040753284667017775
93281,quarter,2018-Q4,17,74770615.0,0.022736204590533327,0.013244677029348086,0.036402866040230665
93281,quarter,2019-Q1,69,225406912.0,0.030611306187451785,0.023817423379121943,0.03874056714598232
93281,quarter,2019-Q2,36,224099443.0,0.016064296955883108,0.011251236094020648,0.02223975830642122
93281,quarter,2019-Q3,33,225151016.0,0.014656829263430905,0.010089086861029236,0.020583637636869156
93281,quarter,2019-Q4,51,223888589.0,0.022779186839218504,0.016960600809490457,0.02995042385862898
93281,quarter,2020-Q1,33,149176444.0,0.022121455046883943,0.015227391780923425,0.0310667475551095
93281,quarter,2020-Q2,18,78055480.0,0.023060520542567926,0.01366712597296119,0.03644556444663204
93281,quarter,2020-Q3,37,240451013.0,0.01538774968687697,0.010834395847234808,0.02120998597827942
93281,quarter,2020-Q4,18,252197294.0,0.007137269284102628,0.004229998114253964,0.011279962531052368
93281,quarter,2021-Q1,62,256211709.0,0.02419873792731307,0.018553033611033203,0.03102168990869432
93281,quarter,2021-Q2,56,261559386.0,0.02141005178839195,0.016172923032718167,0.02780273310764881
93281,quarter,2021-Q3,30,266799594.0,0.011244394922130203,0.007586546035531416,0.01605207292587097
93281,quarter,2021-Q4,34,272358419.0,0.012483550214763143,0.00864522142220699,0.017444510167759157
93281,quarter,2022-Q1,49,277314434.0,0.01766947334591318,0.013071973653138134,0.02335998081979328
93281,quarter,2022-Q2,28,282016994.5,0.00992847968245403,0.0065974026454840235,0.014349417493444068
93281,quarter,2022-Q3,15,287178648.0,0.005223229548737203,0.0029234019281208245,0.008614922816784708
93281,quarter,2022-Q4,17,292152539.0,0.005818878062189287,0.0033897109035931723,0.009316587461150428
93281,quarter,2023-Q1,21,297686543.0,0.007054400171525388,0.004366784891608683,0.010783400019175004
93281,quarter,2023-Q2,16,298365151.0,0.005362556567472587,0.0030651644211764947,0.008708455900589052
93281,quarter,2023-Q3,20,289816874.0,0.006900909434279524,0.004215254763048733,0.010657894923907917
93281,quarter,2023-Q4,25,276383178.0,0.009045413031613669,0.005853714384827474,0.013352814004306138
93281,year,2018,17,74770615.0,0.022736204590533327,0.013244677029348086,0.036402866040230665
93281,year,2019,189,898545960.0,0.021033982502130445,0.01814200322986013,0.024255917940702677
93281,year,2020,106,719880231.0,0.014724671609991746,0.012055354631182463,0.01780906614838646
93281,year,2021,182,1056929108.0,0.017219697955371288,0.014808765289602656,0.01991126765148745
93281,year,2022,109,1138662615.5,0.009572633589286396,0.00786012825286085,0.011547445203485315
93281,year,2023,82,1162251746.0,0.007055270106688229,0.0056112656911340405,0.0087574504823388
