target_title,code,period_type,period_label,claims,exposure_months,rate_per_100000_member_months,poisson_ci_lower_per_100000,poisson_ci_upper_per_100000
HCPCS A0427,A0427,month,2022-11,436724,97433463.0,448.22793581708163,446.89954550768226,449.5592981941754
HCPCS A0427,A0427,month,2022-12,448479,97814451.0,458.4997364039798,457.1588174267834,459.8436158526532
HCPCS A0427,A0427,month,2023-01,455682,98743626.0,461.47991365032516,460.14098061025396,462.8217792921579
HCPCS A0427,A0427,month,2023-02,415005,99047187.0,418.9972603664151,417.7234446241431,420.27399979269785
HCPCS A0427,A0427,month,2023-03,454350,99895730.0,454.8242452405123,453.5026913485141,456.1486979145114
HCPCS A0427,A0427,month,2023-04,448401,100100536.0,447.95064833618875,446.640467150024,449.26372238303645
HCPCS A0427,A0427,month,2023-05,473485,99734767.0,474.74417822623474,473.3928855089837,476.09837437411466
HCPCS A0427,A0427,month,2023-06,448494,98529848.0,455.1859249798092,453.85471975364163,456.5200691822937
HCPCS A0427,A0427,month,2023-07,464066,97857412.0,474.2267249005114,472.8632851015868,475.5931238459003
HCPCS A0427,A0427,month,2023-08,459143,96623612.0,475.1871623263266,473.81366163096203,476.563659961855
HCPCS A0427,A0427,month,2023-09,432132,95335850.0,453.2733489028524,451.922892421449,454.62684285267096
HCPCS A0427,A0427,month,2023-10,426485,93799620.0,454.6766820590531,453.31311244456873,456.04333889943985
HCPCS A0427,A0427,month,2023-11,405665,92066205.0,440.62313636149116,439.2682530706288,441.98116504557856
HCPCS A0427,A0427,month,2023-12,425342,90517353.0,469.90105864010405,468.48994051460863,471.31537594021415
HCPCS A0427,A0427,quarter,2018-Q1,1114497,230550049.0,483.4078347994626,482.510770766974,484.306154626105
HCPCS A0427,A0427,quarter,2018-Q2,1102370,228935769.0,481.5193382909072,480.6208795042311,482.41906172886127
HCPCS A0427,A0427,quarter,2018-Q3,1129415,227904788.0,495.56440209584366,494.65086990429285,496.47920465468843
HCPCS A0427,A0427,quarter,2018-Q4,1068104,226095567.0,472.41262364069263,471.5171358694851,473.3093919562362
HCPCS A0427,A0427,quarter,2019-Q1,1149754,225406912.0,510.0793004963397,509.14736142337523,511.0125240107048
HCPCS A0427,A0427,quarter,2019-Q2,1177485,224099443.0,525.4296861416117,524.4810677939524,526.3795964196906
HCPCS A0427,A0427,quarter,2019-Q3,1200186,225151016.0,533.0582207987904,532.1049708026997,534.0127566874994
HCPCS A0427,A0427,quarter,2019-Q4,1190279,223888589.0,531.6389751332972,530.6843165641877,532.5949268473685
HCPCS A0427,A0427,quarter,2020-Q1,814418,149176444.0,545.9427629203979,544.757706971785,547.1297597864551
HCPCS A0427,A0427,quarter,2020-Q2,378858,78055480.0,485.3701495397889,483.8258138172098,486.91819531277724
HCPCS A0427,A0427,quarter,2020-Q3,1196954,240451013.0,497.7953659109766,496.9039747866163,498.68796110658
HCPCS A0427,A0427,quarter,2020-Q4,1190715,252197294.0,472.13631086779225,471.2886557783021,472.98511394891955
HCPCS A0427,A0427,quarter,2021-Q1,1191715,256211709.0,465.1290156298048,464.29429144942276,465.9648698145409
HCPCS A0427,A0427,quarter,2021-Q2,1290660,261559386.0,493.44816859296344,492.5972286637942,494.30021540972115
HCPCS A0427,A0427,quarter,2021-Q3,1368808,266799594.0,513.0472574857067,512.1881356752242,513.9074644340475
HCPCS A0427,A0427,quarter,2021-Q4,1283853,272358419.0,471.3836292315972,470.56858788118456,472.19973358225565
HCPCS A0427,A0427,quarter,2022-Q1,1239456,277314434.0,446.9496888863707,446.1631818925985,447.73723988855306
HCPCS A0427,A0427,quarter,2022-Q2,1324145,282016994.5,469.5266688972533,468.7272799637674,470.32708442043514
HCPCS A0427,A0427,quarter,2022-Q3,1354944,287178648.0,471.81223584561207,471.0181339147977,472.6073459111515
HCPCS A0427,A0427,quarter,2022-Q4,1327353,292152539.0,454.3356030871256,453.56301249973654,455.1091846487458
HCPCS A0427,A0427,quarter,2023-Q1,1325037,297686543.0,445.11148762273746,444.35392157797264,445.87002621973477
HCPCS A0427,A0427,quarter,2023-Q2,1370380,298365151.0,459.29626680831774,458.5275946443942,460.06590930772126
HCPCS A0427,A0427,quarter,2023-Q3,1355341,289816874.0,467.65427467829215,466.8672862035904,468.44226211054627
HCPCS A0427,A0427,quarter,2023-Q4,1257492,276383178.0,454.9813809579974,454.1865004021317,455.77730903770316
HCPCS A0427,A0427,year,2018,4414386,913486173.0,483.2460666046666,482.79537304102143,483.6970770611518
HCPCS A0427,A0427,year,2019,4717704,898545960.0,525.0375840541312,524.5639133823905,525.5115768860244
HCPCS A0427,A0427,year,2020,3580945,719880231.0,497.4362186645462,496.92113741855223,497.9517020362807
HCPCS A0427,A0427,year,2021,5135036,1056929108.0,485.84488412064815,485.42475639239194,486.2652857308792
HCPCS A0427,A0427,year,2022,5245898,1138662615.5,460.70696697954423,460.3128081123612,461.1013800689773
HCPCS A0427,A0427,year,2023,5308250,1162251746.0,456.7211895588755,456.3327419440227,457.1098862360515
HCPCS A0433,A0433,month,2018-01,2357,77061511.0,3.0585956198029907,2.9363510446989434,3.184622150536336
HCPCS A0433,A0433,month,2018-02,1790,76816414.0,2.3302311404434994,2.2235199043972793,2.4407402503735884
HCPCS A0433,A0433,month,2018-03,2076,76672124.0,2.707633350551238,2.5924008243327674,2.82666875409045
HCPCS A0433,A0433,month,2018-04,1874,76587909.0,2.4468614229956325,2.3373203637082063,2.5602110064194554
HCPCS A0433,A0433,month,2018-05,1768,76388516.0,2.314484025321293,2.2078442229812865,2.424943162503376
HCPCS A0433,A0433,month,2018-06,1815,75959344.0,2.3894361172998018,2.280761093433325,2.501951658193657
HCPCS A0433,A0433,month,2018-07,1824,76353875.0,2.3888767924352234,2.280492491369891,2.501081692134521
HCPCS A0433,A0433,month,2018-08,1759,76065396.0,2.3124838527101073,2.2056671786149016,2.4231361636363857
HCPCS A0433,A0433,month,2018-09,1695,75485517.0,2.2454638550067823,2.1398261491315456,2.354967237975984
HCPCS A0433,A0433,month,2018-10,1793,75799027.0,2.3654657202921614,2.2572305478335712,2.477549716921754
HCPCS A0433,A0433,month,2018-11,1960,75525925.0,2.5951353790105847,2.4815051222372393,2.7126270517156454
HCPCS A0433,A0433,month,2018-12,2080,74770615.0,2.7818415028417247,2.6635634594879405,2.9040191078815965
HCPCS A0433,A0433,month,2019-01,2195,75376060.0,2.912065183560934,2.7915028435088436,3.0364950106609347
HCPCS A0433,A0433,month,2019-02,2012,75153292.0,2.6771947661321343,2.561479455673622,2.796790257978584
HCPCS A0433,A0433,month,2019-03,2211,74877560.0,2.952820578020972,2.8310094235326284,3.078524866850732
HCPCS A0433,A0433,month,2019-04,2127,75071007.0,2.8333175282969094,2.7141749492575826,2.956343749162795
HCPCS A0433,A0433,month,2019-05,2344,74812854.0,3.1331514234171576,3.007583785745673,3.2626147655873194
HCPCS A0433,A0433,month,2019-06,1989,74215582.0,2.680030185574776,2.5635318686855615,2.80045787836078
HCPCS A0433,A0433,month,2019-07,2146,74488451.0,2.8809835232041543,2.76036834266431,3.0055125928133726
HCPCS A0433,A0433,month,2019-08,2219,75037460.0,2.9571896490099743,2.8354160625736284,3.0828480239640172
HCPCS A0433,A0433,month,2019-09,2257,75625105.0,2.9844586662061494,2.8625903801519876,3.110181322879407
HCPCS A0433,A0433,month,2019-10,2399,75011359.0,3.1981822912980418,3.07147135875804,3.3287783097284156
HCPCS A0433,A0433,month,2019-11,2271,74622336.0,3.043324722506677,2.919432363215277,3.1711231623223877
HCPCS A0433,A0433,month,2019-12,2671,74254894.0,3.597069305627182,3.4619349777956656,3.7361268975722712
HCPCS A0433,A0433,month,2020-01,2652,74732556.0,3.548654217045647,3.4148665788053947,3.686340133614835
HCPCS A0433,A0433,month,2020-02,2155,74443888.0,2.89479775693607,2.773854881428885,3.019656805381819
HCPCS A0433,A0433,month,2020-06,2387,78055480.0,3.0580812519505356,2.9366199692526513,3.1832761682874353
HCPCS A0433,A0433,month,2020-07,2789,79309251.0,3.51661371761032,3.387300629544587,3.649599532800649
HCPCS A0433,A0433,month,2020-08,2610,80202982.0,3.2542430903628996,3.130581280258547,3.3815374769740654
HCPCS A0433,A0433,month,2020-09,2472,80938780.0,3.054160193667362,2.9349376401942364,3.1769829494435364
HCPCS A0433,A0433,month,2020-10,2656,83848958.0,3.167600484671497,3.0482680367260673,3.290407357165172
HCPCS A0433,A0433,month,2020-11,2822,85021129.0,3.3191749312103345,3.1978311873555083,3.443944534238189
HCPCS A0433,A0433,month,2020-12,3258,83327207.0,3.9098874392849865,3.7767707376129054,4.046498116371399
HCPCS A0433,A0433,month,2021-01,3501,84904129.0,4.123474371900099,3.9880044503017182,4.262372664531694
HCPCS A0433,A0433,month,2021-02,2937,85397214.0,3.4392222678365125,3.3159534068866257,3.5659014757897474
